Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Perry Cowan,27,8,501,3.5,0.412,0.412,0.664,0,84,0.017,0.045,0.03,0.039,0.011,0.004,0.11,0.123,-0.1,0.4,0.4,0.029,-3.8,-1.8,-5.6
Davis Franks,11,0,39,12.6,0.323,0.3,0,0.5,13,0.242,0.232,0.238,0.204,0.029,0.028,0.327,0.229,-0.1,0.1,0,0.003,-6.2,3.5,-2.7
Dan Friday,22,1,362,5,0.424,0.384,0.162,0.354,97,0.02,0.097,0.057,0.12,0.011,0.033,0.237,0.203,-0.4,0.4,0,0.001,-7.6,-0.2,-7.8
Carsten Kogelnik,7,0,25,7.3,0.6,0.6,0.8,0,5,0.042,0.181,0.109,0,0,0,0.286,0.136,0,0,0,0.04,-6,-5.6,-11.6
EJ Perry,2,0,9,-3.9,0.169,0,1,1,1,0,0.126,0.061,0.192,0.063,0,0.253,0.213,0,0,0,-0.097,-9,1.3,-7.7
Jake Shaper,8,0,23,10.7,0.472,0.5,0.75,0.125,7,0.091,0.296,0.19,0,0.025,0.047,0.261,0.242,0,0.1,0,0.03,-8.5,-3.7,-12.2
Josh Watts,13,0,69,-1.6,0.22,0.179,0.929,0.286,9,0.03,0.049,0.04,0.079,0.017,0,0.159,0.133,-0.1,0.1,-0.1,-0.041,-6.6,-2.1,-8.7
Chris Knight,29,28,732,27.5,0.566,0.557,0.045,0.281,411,0.086,0.205,0.149,0.226,0.021,0.061,0.169,0.341,1.6,1.7,3.2,0.175,0.9,4.3,5.2
Aaryn Rai,29,29,815,18.7,0.576,0.546,0.237,0.361,331,0.085,0.182,0.136,0.134,0.016,0.022,0.199,0.236,1.3,1.5,2.8,0.14,-0.4,1.6,1.2
James Foye,29,29,880,13.8,0.571,0.553,0.624,0.177,264,0.004,0.117,0.063,0.144,0.012,0.007,0.116,0.172,1.5,1.3,2.7,0.124,0.8,-0.4,0.5
Taurus Samuels,29,28,844,10.4,0.488,0.453,0.531,0.254,248,0.018,0.09,0.055,0.143,0.014,0.003,0.134,0.188,0.6,1.2,1.7,0.082,-1.6,-0.8,-2.4
